temperature,humidity,heat_index,wbgt,vulnerability,population,synthetic_mortality_event,synthetic_hospitalization_event,label_source
28,35,28,25.015294215675482,15,10000,0,0,synthetic_demo
29.9,38.1,29.9,27.21021842977678,17.3,10047,1,1,synthetic_demo
31.8,41.2,31.896,29.582758432536426,19.6,10094,0,1,synthetic_demo
33.7,44.3,34.044000000000004,32.15510626403474,21.9,10141,1,1,synthetic_demo
35.6,47.4,36.192,34.95162173305419,24.2,10188,1,1,synthetic_demo
37.5,50.5,38.34,37.99898910124014,26.5,10235,1,1,synthetic_demo
39.4,53.6,40.488,41.32638087297865,28.8,10282,1,1,synthetic_demo
41.3,56.7,42.635999999999996,44.96562875690995,31.1,10329,1,1,synthetic_demo
43.2,59.8,44.784000000000006,48.95140185289628,33.4,10376,1,1,synthetic_demo
28.1,62.9,29.932000000000002,29.271118011317224,35.7,10423,0,1,synthetic_demo
30,66,32.08,31.95566214940913,38,10470,1,1,synthetic_demo
31.9,69.1,34.227999999999994,34.86672396119067,40.3,10517,1,1,synthetic_demo
33.8,72.2,36.376,38.030523448906834,42.6,10564,1,1,synthetic_demo
35.7,75.3,38.524,41.47570395472998,44.9,10611,1,1,synthetic_demo
37.6,78.4,40.672000000000004,45.23349948066675,47.2,10658,1,1,synthetic_demo
39.5,81.5,42.82,49.337909234976166,49.5,10705,1,1,synthetic_demo
41.4,84.6,44.967999999999996,53.825879457572825,51.8,10752,1,1,synthetic_demo
43.3,87.7,47.116,58.737492564474465,54.1,10799,1,1,synthetic_demo
28.2,90.8,32.263999999999996,33.57572839610479,56.4,10846,1,1,synthetic_demo
30.1,93.9,34.412,36.754791070793615,58.7,10893,1,1,synthetic_demo
32,36,32,28.811056230631213,61,10940,1,1,synthetic_demo
33.9,39.1,33.9,31.28963415228598,63.3,10987,1,1,synthetic_demo
35.8,42.2,35.976,33.983899999338895,65.6,11034,1,1,synthetic_demo
37.7,45.3,38.124,36.919908128433676,67.9,11081,1,1,synthetic_demo
39.6,48.4,40.272,40.1261652612489,70.2,11128,1,1,synthetic_demo
41.5,51.5,42.42,43.63380011423301,72.5,11175,1,1,synthetic_demo
43.4,54.6,44.568,47.47674024073437,74.8,11222,1,1,synthetic_demo
28.3,57.7,29.716,28.708374272641997,77.1,11269,1,1,synthetic_demo
30.2,60.8,31.863999999999997,31.31883596103234,79.4,11316,1,1,synthetic_demo
32.1,63.9,34.012,34.14886529933914,81.7,11363,1,1,synthetic_demo
34,67,36.16,37.22414405858204,84,11410,1,1,synthetic_demo
35.9,70.1,38.308,40.572745097494,86.3,11457,1,1,synthetic_demo
37.8,73.2,40.455999999999996,44.22529839277614,88.6,11504,1,1,synthetic_demo
39.7,76.3,42.604,48.215164278914415,90.9,11551,1,1,synthetic_demo
41.6,79.4,44.752,52.57861395129546,93.2,11598,1,1,synthetic_demo
43.5,82.5,46.9,57.35501727398137,15.5,11645,1,1,synthetic_demo
28.4,85.6,32.048,33.05796705150009,17.8,11692,1,1,synthetic_demo
30.3,88.7,34.196,36.16746758840249,20.1,11739,1,1,synthetic_demo
32.2,91.8,36.344,39.546218451753774,22.4,11786,1,1,synthetic_demo
34.1,94.9,38.492000000000004,43.22397929903255,24.7,11833,1,1,synthetic_demo
36,37,36,32.99080475793633,27,11880,1,1,synthetic_demo
37.9,40.1,37.908,35.81313354824515,29.3,11927,1,1,synthetic_demo
39.8,43.2,40.056,38.89576183272707,31.6,11974,1,1,synthetic_demo
41.7,46.3,42.204,42.269105363237855,33.9,12021,1,1,synthetic_demo
43.6,49.4,44.352000000000004,45.9663398091064,36.2,12068,1,1,synthetic_demo
28.5,52.5,29.5,28.128388817717894,38.5,12115,1,1,synthetic_demo
30.4,55.6,31.648,30.66308585454302,40.8,12162,1,1,synthetic_demo
32.3,58.7,33.796,33.41026491392041,43.1,12209,1,1,synthetic_demo
34.2,61.8,35.944,36.39506108325524,45.4,12256,1,1,synthetic_demo
36.1,64.9,38.092,39.6449679361677,47.7,12303,1,1,synthetic_demo
38,68,40.24,43.190002268708156,50,12350,1,1,synthetic_demo
39.9,71.1,42.388,47.062876028582735,52.3,12397,1,1,synthetic_demo
41.8,74.2,44.535999999999994,51.299175492399954,54.6,12444,1,1,synthetic_demo
43.7,77.3,46.684000000000005,55.93754773360892,56.9,12491,1,1,synthetic_demo
28.6,80.4,31.832,32.52337346122467,59.2,12538,1,1,synthetic_demo
30.5,83.5,33.98,35.56166390419159,61.5,12585,1,1,synthetic_demo
32.4,86.6,36.128,38.86249606522918,63.8,12632,1,1,synthetic_demo
34.3,89.7,38.275999999999996,42.455106976178726,66.1,12679,1,1,synthetic_demo
36.2,92.8,40.42400000000001,46.37135083665854,68.4,12726,1,1,synthetic_demo
38.1,95.9,42.572,50.64587442290777,70.7,12773,1,1,synthetic_demo
40,38,40,37.634741339878865,73,12820,1,1,synthetic_demo
41.9,41.1,41.988,40.87108357346045,75.3,12867,1,1,synthetic_demo
43.8,44.2,44.135999999999996,44.41970616940861,77.6,12914,1,1,synthetic_demo
28.7,47.3,29.284,27.530891719098207,79.9,12961,1,1,synthetic_demo
30.6,50.4,31.432000000000002,29.988119784700896,82.2,13008,1,1,synthetic_demo
32.5,53.5,33.58,32.65060723980157,84.5,13055,1,1,synthetic_demo
34.4,56.6,35.728,35.542933976815995,86.8,13102,1,1,synthetic_demo
36.3,59.7,37.876,38.69200542283184,89.1,13149,1,1,synthetic_demo
38.2,62.8,40.024,42.127215977465895,91.4,13196,1,1,synthetic_demo
40.1,65.9,42.172000000000004,45.88061962757939,93.7,13243,1,1,synthetic_demo
42,69,44.32,49.98710779514657,16,13290,1,1,synthetic_demo
43.9,72.1,46.467999999999996,54.484594462266486,18.3,13337,1,1,synthetic_demo
28.8,75.2,31.616,31.971680780869068,20.6,13384,0,1,synthetic_demo
30.7,78.3,33.763999999999996,34.93709125706102,22.9,13431,0,1,synthetic_demo
32.6,81.4,35.912,38.1582000573173,25.2,13478,1,1,synthetic_demo
34.5,84.5,38.06,41.66371317084858,27.5,13525,1,1,synthetic_demo
36.4,87.6,40.208,45.484921813206824,29.8,13572,1,1,synthetic_demo
38.3,90.7,42.355999999999995,49.65587654845434,32.1,13619,1,1,synthetic_demo
40.2,93.8,44.504000000000005,54.213568703801045,34.4,13666,1,1,synthetic_demo
42.1,35.9,42.1,39.43926910616755,36.7,13713,1,1,synthetic_demo
44,39,44,42.836339962823196,39,13760,1,1,synthetic_demo
28.9,42.1,29.067999999999998,26.915609943201552,41.3,13807,1,1,synthetic_demo
30.8,45.2,31.216,29.293642400692107,43.6,13854,1,1,synthetic_demo
32.7,48.3,33.364000000000004,31.869573198318204,45.9,13901,1,1,synthetic_demo
34.6,51.4,35.512,34.66741846303133,48.2,13948,1,1,synthetic_demo
36.5,54.5,37.66,37.7134865541167,50.5,13995,1,1,synthetic_demo
38.4,57.6,39.808,41.03654019844326,52.8,14042,1,1,synthetic_demo
40.3,60.7,41.955999999999996,44.66796578682123,55.1,14089,1,1,synthetic_demo
42.2,63.8,44.104,48.641949889056015,57.4,14136,1,1,synthetic_demo
44.1,66.9,46.252,52.995663033018715,59.7,14183,1,1,synthetic_demo
29,70,31.4,31.402619077836366,62,14230,1,1,synthetic_demo
30.9,73.1,33.548,34.29345759907097,64.3,14277,1,1,synthetic_demo
32.8,76.2,35.696,37.43301486281884,66.6,14324,1,1,synthetic_demo
34.7,79.3,37.844,40.84945733967948,68.9,14371,1,1,synthetic_demo
36.6,82.4,39.992000000000004,44.573504435514,71.2,14418,1,1,synthetic_demo
38.5,85.5,42.14,48.63860132257174,73.5,14465,1,1,synthetic_demo
40.4,88.6,44.288,53.081099046054774,75.8,14512,1,1,synthetic_demo
42.3,91.7,46.436,57.940441950107996,78.1,14559,1,1,synthetic_demo
44.2,94.8,48.584,63.25936245465567,80.4,14606,1,1,synthetic_demo
29.1,36.9,29.1,26.28226732407773,82.7,14653,1,1,synthetic_demo
31,40,31,28.579355018758413,85,14700,1,1,synthetic_demo
32.9,43.1,33.147999999999996,31.066840168751003,87.3,14747,1,1,synthetic_demo
34.8,46.2,35.296,33.76816650585539,89.6,14794,1,1,synthetic_demo
36.7,49.3,37.444,36.7090363403315,91.9,14841,1,1,synthetic_demo
38.6,52.4,39.592,39.917571389362735,94.2,14888,1,1,synthetic_demo
40.5,55.5,41.74,43.42448075127923,16.5,14935,1,1,synthetic_demo
42.4,58.6,43.888,47.26323608443417,18.8,14982,1,1,synthetic_demo
44.3,61.7,46.035999999999994,51.47025403739228,21.1,15029,1,1,synthetic_demo
29.2,64.8,31.183999999999997,30.815915305177523,23.4,15076,1,1,synthetic_demo
31.1,67.9,33.332,33.63046756814127,25.7,15123,1,1,synthetic_demo
33,71,35.48,36.68662139408179,28,15170,1,1,synthetic_demo
34.9,74.1,37.628,40.01199519990576,30.3,15217,1,1,synthetic_demo
36.8,77.2,39.775999999999996,43.636727696306934,32.6,15264,1,1,synthetic_demo
38.7,80.3,41.924,47.593649423551355,34.9,15311,1,1,synthetic_demo
40.6,83.4,44.072,51.91846154607087,37.2,15358,1,1,synthetic_demo
42.5,86.5,46.22,56.64992195112691,39.5,15405,1,1,synthetic_demo
44.4,89.6,48.367999999999995,61.83003868427807,41.8,15452,1,1,synthetic_demo
29.3,92.7,33.516,35.40113837799989,44.1,15499,1,1,synthetic_demo
31.2,95.8,35.664,38.738285803744745,46.4,15546,1,1,synthetic_demo
33.1,37.9,33.1,30.242081959653934,48.7,15593,1,1,synthetic_demo
35,41,35.08,32.844826279588794,51,15640,1,1,synthetic_demo
36.9,44.1,37.228,35.678275774442106,53.3,15687,1,1,synthetic_demo
