temperature,humidity,heat_index,wbgt,vulnerability,synthetic_thermal_stress_event,label_source
28,38,28,21.3094,20,0,synthetic_demo
28.7,39.3,28.7,21.757389999999997,21.7,0,synthetic_demo
29.4,40.6,29.4,22.20538,23.4,0,synthetic_demo
30.1,41.9,30.1,22.653370000000002,25.1,0,synthetic_demo
30.8,43.2,30.8,23.10136,26.8,0,synthetic_demo
31.5,44.5,31.5,23.54935,28.5,0,synthetic_demo
32.2,45.8,32.264,23.99734,30.2,0,synthetic_demo
32.9,47.1,33.068,24.445330000000002,31.9,0,synthetic_demo
33.6,48.4,33.872,24.89332,33.6,0,synthetic_demo
34.3,49.7,34.675999999999995,25.341309999999996,35.3,0,synthetic_demo
35,51,35.48,25.7893,37,0,synthetic_demo
35.7,52.3,36.284000000000006,26.23729,38.7,0,synthetic_demo
36.4,53.6,37.088,26.68528,40.4,0,synthetic_demo
37.1,54.9,37.892,27.13327,42.1,0,synthetic_demo
37.8,56.2,38.696,27.581259999999997,43.8,0,synthetic_demo
38.5,57.5,39.5,28.02925,45.5,0,synthetic_demo
39.2,58.8,40.304,28.47724,47.2,0,synthetic_demo
39.9,60.1,41.108,28.92523,48.9,0,synthetic_demo
40.6,61.4,41.912,29.37322,50.6,0,synthetic_demo
41.3,62.7,42.715999999999994,29.82121,52.3,0,synthetic_demo
42,64,43.52,30.269199999999998,54,0,synthetic_demo
42.7,65.3,44.324000000000005,30.71719,55.7,0,synthetic_demo
28.4,66.6,30.127999999999997,22.66018,57.4,0,synthetic_demo
29.1,67.9,30.932000000000002,23.10817,59.1,0,synthetic_demo
29.8,69.2,31.736,23.556160000000002,60.8,0,synthetic_demo
30.5,70.5,32.54,24.00415,62.5,0,synthetic_demo
31.2,71.8,33.344,24.452139999999996,64.2,0,synthetic_demo
31.9,73.1,34.147999999999996,24.90013,65.9,0,synthetic_demo
32.6,74.4,34.952,25.348119999999998,67.6,0,synthetic_demo
33.3,75.7,35.756,25.79611,69.3,0,synthetic_demo
34,77,36.56,26.2441,71,0,synthetic_demo
34.7,78.3,37.364000000000004,26.692090000000004,72.7,0,synthetic_demo
35.4,79.6,38.168,27.140079999999998,74.4,0,synthetic_demo
36.1,80.9,38.972,27.58807,76.1,0,synthetic_demo
36.8,82.2,39.775999999999996,28.03606,77.8,1,synthetic_demo
37.5,83.5,40.58,28.48405,79.5,1,synthetic_demo
38.2,84.8,41.384,28.93204,81.2,1,synthetic_demo
38.9,86.1,42.187999999999995,29.380029999999998,82.9,1,synthetic_demo
39.6,87.4,42.992000000000004,29.82802,84.6,1,synthetic_demo
40.3,88.7,43.796,30.27601,86.3,1,synthetic_demo
41,38,41,28.6804,88,1,synthetic_demo
41.7,39.3,41.7,29.12839,89.7,1,synthetic_demo
42.4,40.6,42.4,29.57638,21.4,0,synthetic_demo
28.1,41.9,28.1,21.51937,23.1,0,synthetic_demo
